QuestionNumber,DOK,Standard,Desc,CorrectAnswer,"ALSTON, VICTORIA","AMY-RUIZ, JONATHAN","BARR, A'MARI","BODIE, JONATHAN","CAIN, KI'NYJAH","CASTILLOMORILLO, ANGELID","CAWLEY, SARAH","CHESTNUTT, SAVANNAH","CIPOLLA, MARIANO","DAMES, QUINDARIUS","DAVIS, JAKAYLA","DAYTON, HAILEY","DOWNER, JUSTIN","FERNANDEZ, SABRINA","FIGUEROA, LUIS","GARCIAOSPINA, JUAN","GERLACH, CARTER","GIBILISCO, MICHELE","GILL, GIULIANI","HARMON, CHARLES","HAWKINS, ANTHONY","HOSKINS, ASHTON","JOHNSON, HUNTER","JOSEPH, JACOB","JOSHI, NEHA","LEE, LACEY","LEPAK, NICHOLAS","LINDIG, DAVID","LOBOORDONEZ, EVELIN","MALDONADO-GONZALEZ, EVAN","MARTIN, LUCIANNA","MARTINEZ-ORTIZ, BENMARY","MATTHEW, JAHEEM","MCAULEY, FINN","MERCADO, RICHARD","MIXSON, JASON","MUNIZ, DEANTHONY","OLIVAREZ, JUAN","PEREZ, ISAIAH","PEREZBRAVO, RODIMIRO","PETTIGREW, ZYN","POWELL, VALENCIA","RAMOS, NASHAN","RIVETTE, GISELE","RODRIGUEZ, KENEDY","RODRIGUEZTORRES, RONI","SANCHEZ-MELO, LUIS","SANDERS, BRYANNA","SNEAD, EVAN","SORRENTINO, GIOVANNI","TAYLOR, KENNETH","TEJEDA, ANTONIO","THARP, TRISTAN","THOMAS, TERRIYONA","TREFFILETTI, SOFIA","TURNER, LAILA","VELANDIA, ROGER","WELLS, ALICIA","YACOUB, AL-NOUR","YACOUB, MOHAMAD",PercentCorrect
,,Geometry-Congruence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Moderate,MAFS.912.G-CO.1.5,"Givenageometricfigureandarotation, reflection, ortranslation, drawthetransformedfigureusing, e.g., graphpaper, tracingpaper, orgeometrysoftware.Specifyasequenceoftransformationsthatwillcarryagivenfigureontoanother.",C,B,A,B,,B,D,D,D,B,A,A,B,,D,D,A,B,B,,,,A,A,A,D,B,D,B,D,D,D,D,B,D,D,A,A,,B,,,B,A,D,,,,B,A,A,A,B,B,D,,B,,,,D,25%
16,Moderate,MAFS.912.G-CO.2.6,"Usegeometricdescriptionsofrigidmotionstotransformfiguresandtopredicttheeffectofagivenrigidmotiononagivenfigure;giventwofigures, usethedefinitionofcongruenceintermsofrigidmotionstodecideiftheyarecongruent.",A,C,D,D,D,C,,,C,,,C,C,D,,,D,C,,B,D,B,,,D,C,,C,D,D,B,C,,,,C,C,D,B,B,B,C,D,D,D,,D,B,D,,C,D,,D,D,B,D,B,C,C,B,27%
17,Moderate,MAFS.912.G-CO.2.6,"Usegeometricdescriptionsofrigidmotionstotransformfiguresandtopredicttheeffectofagivenrigidmotiononagivenfigure;giventwofigures, usethedefinitionofcongruenceintermsofrigidmotionstodecideiftheyarecongruent.",A,C,B,B,D,,D,,,,C,D,D,D,,,C,,C,D,B,D,,,,B,,,,C,D,,C,,C,C,C,,D,,C,C,B,,,B,B,D,,,C,,C,B,D,,,D,D,C,B,40%
18,Moderate,MAFS.912.G-CO.2.6,"Usegeometricdescriptionsofrigidmotionstotransformfiguresandtopredicttheeffectofagivenrigidmotiononagivenfigure;giventwofigures, usethedefinitionofcongruenceintermsofrigidmotionstodecideiftheyarecongruent.",D,B,,C,C,C,,B,B,,,C,,B,C,,,C,A,,A,,,,A,C,A,A,B,C,A,C,B,B,,,C,A,B,,,C,,,B,C,,B,B,,B,C,,A,B,C,A,A,,B,B,35%
19,Moderate,MAFS.912.G-CO.3.9,Provetheoremsaboutlinesandangles.,A,B,,D,D,D,,C,,C,B,B,C,D,C,B,B,B,D,D,C,D,D,B,C,D,,D,D,C,B,D,D,C,C,C,C,D,D,,D,C,B,C,D,B,B,C,B,D,C,D,B,B,D,C,,C,C,C,D,10%
20,Moderate,MAFS.912.G-CO.3.9,Provetheoremsaboutlinesandangles.,C,,,A,,,A,,,,B,B,,D,,A,B,,,B,B,,,B,A,,D,,D,D,,,B,,B,,,B,B,D,B,,,,,,D,,,,D,B,,D,,,,,,B,D,57%
21,High,MAFS.912.G-CO.4.12,"Makeformalgeometricconstructionswithavarietyoftoolsandmethods(compassandstraightedge, string, reflectivedevices, paperfolding, dynamicgeometricsoftware, etc.).",C,B,D,,B,B,,A,,B,A,B,D,B,,B,A,,B,B,,D,,D,,B,B,,,B,A,,B,B,D,A,,B,B,D,,,,B,B,B,,,,,B,B,B,D,,,B,,,B,B,38%
22,Moderate,MAFS.912.G-CO.4.12,"Makeformalgeometricconstructionswithavarietyoftoolsandmethods(compassandstraightedge, string, reflectivedevices, paperfolding, dynamicgeometricsoftware, etc.).",D,A,,B,,,A,B,A,A,B,,,,,,B,A,,C,B,B,B,B,A,A,B,A,B,,C,B,B,C,,B,C,,,C,C,C,,A,A,B,C,,,B,A,A,B,A,,,,A,A,A,C,32%
"Total/Avg
22",,,,,"2/22
9%","9/22
41%","6/22
27%","6/22
27%","9/22
41%","16/22
73%","8/22
36%","12/22
55%","7/22
32%","7/22
32%","5/22
23%","10/22
45%","7/22
32%","11/22
50%","9/22
41%","7/22
32%","12/22
55%","10/22
45%","5/22
23%","6/22
27%","8/22
36%","13/22
59%","5/22
23%","6/22
27%","5/22
23%","7/22
32%","9/22
41%","5/22
23%","5/22
23%","7/22
32%","8/22
36%","6/22
27%","7/22
32%","12/22
55%","11/22
50%","5/22
23%","11/22
50%","5/22
23%","7/22
32%","6/22
27%","6/22
27%","9/22
41%","10/22
45%","7/22
32%","9/22
41%","8/22
36%","10/22
45%","9/22
41%","13/22
59%","5/22
23%","9/22
41%","8/22
36%","5/22
23%","5/22
23%","12/22
55%","8/22
36%","8/22
36%","10/22
45%","8/22
36%","2/22
9%",36%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geometry-ExpressingGeometricPropertieswithEquations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Moderate,MAFS.912.G-GPE.2.6,Findthepointonadirectedlinesegmentbetweentwogivenpointsthatpartitionsthesegmentinagivenratio.,C,B,A,,,B,,B,B,,B,D,D,A,,B,D,,D,D,D,,,D,B,B,,,D,B,D,D,B,D,D,B,,,B,B,A,,B,B,B,D,B,,,,D,B,D,,D,B,B,B,,,D,32%
24,Moderate,MAFS.912.G-GPE.2.6,Findthepointonadirectedlinesegmentbetweentwogivenpointsthatpartitionsthesegmentinagivenratio.,A,B,D,B,B,D,B,B,C,B,C,C,B,D,C,B,B,D,B,D,C,D,C,C,D,C,B,B,,B,,,B,B,,B,C,B,B,D,C,C,B,B,?,C,C,B,C,,C,B,B,B,,,,D,C,C,C,13%
25,Moderate,MAFS.912.G-GPE.2.6,Findthepointonadirectedlinesegmentbetweentwogivenpointsthatpartitionsthesegmentinagivenratio.,C,B,,,D,A,A,,,,D,,B,B,,A,,,,B,B,A,B,B,D,A,A,,B,,B,,A,,,B,,A,,A,A,,D,D,D,,B,A,A,D,B,,A,D,D,A,,D,B,A,B,35%
"Total/Avg
3",,,,,"0/3
0%","1/3
33%","2/3
67%","1/3
33%","0/3
0%","1/3
33%","1/3
33%","1/3
33%","2/3
67%","0/3
0%","1/3
33%","0/3
0%","0/3
0%","2/3
67%","0/3
0%","1/3
33%","2/3
67%","1/3
33%","0/3
0%","0/3
0%","1/3
33%","1/3
33%","0/3
0%","0/3
0%","0/3
0%","1/3
33%","2/3
67%","1/3
33%","1/3
33%","1/3
33%","2/3
67%","0/3
0%","1/3
33%","2/3
67%","0/3
0%","2/3
67%","1/3
33%","1/3
33%","0/3
0%","0/3
0%","2/3
67%","0/3
0%","0/3
0%","0/3
0%","1/3
33%","0/3
0%","1/3
33%","1/3
33%","2/3
67%","0/3
0%","1/3
33%","0/3
0%","1/3
33%","1/3
33%","1/3
33%","2/3
67%","0/3
0%","1/3
33%","1/3
33%","0/3
0%",27%
